facility_or_program_type,agency,report_date,date,series,exits,category,housing_category,notes
Residential drug treatment and detoxification,DYCD,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,DYCD,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,DYCD,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Section 8 voucher housing- HPD- project-based,DYCD,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,DYCD,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,DYCD,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- tenant-based,DYCD,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,DYCD,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,DYCD,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- tenant-based,DYCD,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,DYCD,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,DYCD,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Settings with higher levels of medical care- inpatient hospitalization,DYCD,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,DYCD,07_2023,2023-07-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,DYCD,07_2023,2023-07-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DYCD,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DYCD,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DYCD,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DYCD,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DYCD,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DYCD,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Supportive housing,DYCD,07_2023,2023-07-01,families_with_children,NA,Supportive housing,Permanent Housing,NA
Supportive housing,DYCD,07_2023,2023-07-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Supportive housing,Permanent Housing,NA
Supportive housing,DYCD,07_2023,2023-07-01,total_single_adults,0,Supportive housing,Permanent Housing,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,07_2023,2023-07-01,families_with_children,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,07_2023,2023-07-01,adult_families,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,07_2023,2023-07-01,total_single_adults,NA,Transitional housing,Other,NA
DYCD-funded Crisis Services Program,DYCD,07_2023,2023-07-01,families_with_children,NA,Youth special program,Other,NA
DYCD-funded Crisis Services Program,DYCD,07_2023,2023-07-01,adult_families,0,Youth special program,Other,NA
DYCD-funded Crisis Services Program,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Youth special program,Other,NA
DYCD-funded Crisis Services Program,DYCD,07_2023,2023-07-01,total_single_adults,28,Youth special program,Other,NA
DYCD-funded Transitional Independent Living Program,DYCD,07_2023,2023-07-01,families_with_children,NA,Youth special program,Other,NA
DYCD-funded Transitional Independent Living Program,DYCD,07_2023,2023-07-01,adult_families,0,Youth special program,Other,NA
DYCD-funded Transitional Independent Living Program,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Youth special program,Other,NA
DYCD-funded Transitional Independent Living Program,DYCD,07_2023,2023-07-01,total_single_adults,66,Youth special program,Other,NA
Foster home,DYCD,07_2023,2023-07-01,families_with_children,NA,Foster home,Permanent Housing,DYCD only?
Foster home,DYCD,07_2023,2023-07-01,adult_families,0,Foster home,Permanent Housing,DYCD only?
Foster home,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Foster home,Permanent Housing,DYCD only?
Foster home,DYCD,07_2023,2023-07-01,total_single_adults,0,Foster home,Permanent Housing,DYCD only?
Other shelter,DYCD,07_2023,2023-07-01,families_with_children,NA,Other shelter,Other,NA
Other shelter,DYCD,07_2023,2023-07-01,adult_families,0,Other shelter,Other,NA
Other shelter,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Other shelter,Other,NA
Other shelter,DYCD,07_2023,2023-07-01,total_single_adults,22,Other shelter,Other,NA
DHS shelter,DYCD,07_2023,2023-07-01,families_with_children,NA,Other shelter,Other,NA
DHS shelter,DYCD,07_2023,2023-07-01,adult_families,0,Other shelter,Other,NA
DHS shelter,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Other shelter,Other,NA
DHS shelter,DYCD,07_2023,2023-07-01,total_single_adults,0,Other shelter,Other,NA
Youth detention center/Correctional facility,DYCD,07_2023,2023-07-01,families_with_children,NA,Other,Other,Own category?
Youth detention center/Correctional facility,DYCD,07_2023,2023-07-01,adult_families,0,Other,Other,Own category?
Youth detention center/Correctional facility,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Other,Other,Own category?
Youth detention center/Correctional facility,DYCD,07_2023,2023-07-01,total_single_adults,0,Other,Other,Own category?
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,07_2023,2023-07-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,07_2023,2023-07-01,adult_families,0,Affordable housing,Permanent Housing,NA
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Affordable housing,Permanent Housing,NA
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,07_2023,2023-07-01,total_single_adults,0,Affordable housing,Permanent Housing,NA
Shared Living (Not friends or relatives),DYCD,07_2023,2023-07-01,families_with_children,NA,Other,Other,What does this mean?
Shared Living (Not friends or relatives),DYCD,07_2023,2023-07-01,adult_families,0,Other,Other,What does this mean?
Shared Living (Not friends or relatives),DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Other,Other,What does this mean?
Shared Living (Not friends or relatives),DYCD,07_2023,2023-07-01,total_single_adults,0,Other,Other,What does this mean?
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,07_2023,2023-07-01,families_with_children,NA,Voucher,Permanent Housing,NA
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,07_2023,2023-07-01,adult_families,NA,Voucher,Permanent Housing,NA
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,07_2023,2023-07-01,total_single_adults,NA,Voucher,Permanent Housing,NA
Emergency Housing Voucher,DYCD,07_2023,2023-07-01,families_with_children,NA,Voucher,Permanent Housing,NA
Emergency Housing Voucher,DYCD,07_2023,2023-07-01,adult_families,0,Voucher,Permanent Housing,NA
Emergency Housing Voucher,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Voucher,Permanent Housing,NA
Emergency Housing Voucher,DYCD,07_2023,2023-07-01,total_single_adults,0,Voucher,Permanent Housing,NA
Home returned to parent or guardian,DYCD,07_2023,2023-07-01,families_with_children,NA,Family or friends,Permanent Housing,DYCD only?
Home returned to parent or guardian,DYCD,07_2023,2023-07-01,adult_families,0,Family or friends,Permanent Housing,DYCD only?
